[06:30:01] === Daily ETL start ===
[06:43:12] [BOAT  BOAT] upserts: 1
[06:43:12] [BOIL  BOIL] upserts: 1
[06:43:12] [BOTZ  BOTZ] upserts: 1
[06:46:30] $EXAS: possibly delisted; no price data found  (1d 2026-03-24 -> 2026-04-04)
[06:50:01] [BP  BP] upserts: 1
[06:50:01] [BRBS  BRBS] upserts: 1
[06:50:01] [BRHY  BRHY] upserts: 1
[06:50:01] [BRK-B  BRK-B] upserts: 1
[06:50:01] [BRLN  BRLN] upserts: 1
[06:50:01] [BROS  BROS] upserts: 1
[06:50:01] [BRRR  BRRR] upserts: 1
[06:50:01] [BRTR  BRTR] upserts: 1
[06:50:01] [BRZE  BRZE] upserts: 1
[06:50:01] [BSAC  BSAC] upserts: 1
[06:50:01] [BSBR  BSBR] upserts: 1
[06:50:01] [BSM  BSM] upserts: 1
[06:50:01] [BST  BST] upserts: 1
[06:50:01] [BSV  BSV] upserts: 1
[06:50:01] [BTAI  BTAI] upserts: 1
[06:50:01] [BTBT  BTBT] upserts: 1
[06:50:01] [BTC  BTC] upserts: 1
[06:50:01] [BTCI  BTCI] upserts: 1
[06:50:01] [BTCL  BTCL] upserts: 1
[06:50:01] [BTCO  BTCO] upserts: 1
[06:50:01] [BTCW  BTCW] upserts: 1
[06:50:01] [BTCZ  BTCZ] upserts: 1
[06:50:01] [BTE  BTE] upserts: 1
[06:50:01] [BTG  BTG] upserts: 1
[06:50:01] [BTI  BTI] upserts: 1
[06:50:01] [BTU  BTU] upserts: 1
[06:50:01] [BUD  BUD] upserts: 1
[06:50:01] [BUG  BUG] upserts: 1
[06:50:01] [BULZ  BULZ] upserts: 1
[06:50:01] [BURL  BURL] upserts: 1
[06:50:01] [BVN  BVN] upserts: 1
[06:50:01] [BWB  BWB] upserts: 1
[06:50:01] [BWIN  BWIN] upserts: 1
[06:50:01] [BWX  BWX] upserts: 1
[06:50:01] [BX  BX] upserts: 1
[06:50:01] [BXMT  BXMT] upserts: 1
[06:50:01] [BXP  BXP] upserts: 1
[06:50:01] [BXSL  BXSL] upserts: 1
[06:50:01] [BYD  BYD] upserts: 1
[06:50:01] [BYND  BYND] upserts: 1
[06:50:01] [BYRN  BYRN] upserts: 1
[06:50:01] [BZ  BZ] upserts: 1
[06:50:01] [BZAI  BZAI] upserts: 1
[06:50:01] [BZFD  BZFD] upserts: 1
[06:50:01] [BZUN  BZUN] upserts: 1
[06:50:01] [C  C] upserts: 1
[06:50:01] [CAG  CAG] upserts: 1
[06:50:01] [CAKE  CAKE] upserts: 1
[06:50:01] [CAL  CAL] upserts: 1
[06:50:01] [CALF  CALF] upserts: 1
[06:50:01] [CALM  CALM] upserts: 1
[06:50:01] [CAMT  CAMT] upserts: 1
[06:50:01] [CAN  CAN] upserts: 1
[06:50:01] [CAR  CAR] upserts: 1
[06:50:01] [CARG  CARG] upserts: 1
[06:50:01] [CARR  CARR] upserts: 1
[06:50:01] [CART  CART] upserts: 1
[06:50:01] [CAT  CAT] upserts: 1
[06:50:01] [CATH  CATH] upserts: 1
[06:50:01] [CAVA  CAVA] upserts: 1
[06:50:01] [CB  CB] upserts: 1
[06:50:01] [CBUS  CBUS] upserts: 1
